nichi,group_mise,food_uriage_wariai
20191024,X,0.85845
20191024,Y,0.83797
20191024,Z,0.94324
20191025,X,0.828
20191025,Y,0.84646
20191025,Z,0.9493
20191028,X,0.82793
20191028,Y,0.84379
20191028,Z,0.94984
20191029,X,0.87189
20191029,Y,0.83138
20191029,Z,0.94937
20191030,X,0.85125
20191030,Y,0.85307
20191030,Z,0.94657
20191031,X,0.85803
20191031,Y,0.83228
20191031,Z,0.95687
20191101,X,0.82535
20191101,Y,0.84738
20191101,Z,0.95003
20191105,X,0.86745
20191105,Y,0.85492
20191105,Z,0.93647
20191106,X,0.86016
20191106,Y,0.85315
20191106,Z,0.95535
20191107,X,0.85747
20191107,Y,0.84061
20191107,Z,0.96198
20191108,X,0.80671
20191108,Y,0.83656
20191108,Z,0.9562
20191111,X,0.83188
20191111,Y,0.82852
20191111,Z,0.95315
20191112,X,0.87703
20191112,Y,0.86199
20191112,Z,0.95388
20191113,X,0.8913
20191113,Y,0.85504
20191113,Z,0.94323
20191114,X,0.89066
20191114,Y,0.86398
20191114,Z,0.95791
20191115,X,0.85589
20191115,Y,0.84564
20191115,Z,0.95217
20191118,X,0.86556
20191118,Y,0.84692
20191118,Z,0.94945
20191119,X,0.87492
20191119,Y,0.85854
20191119,Z,0.93531
20191120,X,0.87399
20191120,Y,0.85281
20191120,Z,0.94574
20191121,X,0.87463
20191121,Y,0.85077
20191121,Z,0.95606
20191122,X,0.86158
20191122,Y,0.80028
20191122,Z,0.94552
20191125,X,0.85586
20191125,Y,0.8435
20191125,Z,0.96266
20191126,X,0.86688
20191126,Y,0.84713
20191126,Z,0.95722
20191127,X,0.87106
20191127,Y,0.83038
20191127,Z,0.96502
20191128,X,0.85075
20191128,Y,0.84364
20191128,Z,0.97371
20191129,X,0.85406
20191129,Y,0.84609
20191129,Z,0.95497
20191202,X,0.85285
20191202,Y,0.82437
20191202,Z,0.94953
20191203,X,0.86883
20191203,Y,0.85047
20191203,Z,0.94774
20191204,X,0.86834
20191204,Y,0.84765
20191204,Z,0.9391
20191205,X,0.86302
20191205,Y,0.85819
20191205,Z,0.95386
20191206,X,0.83928
20191206,Y,0.84312
20191206,Z,0.95946
20191209,X,0.85551
20191209,Y,0.83925
20191209,Z,0.94237
20191210,X,0.86951
20191210,Y,0.84509
20191210,Z,0.96058
20191211,X,0.77681
20191211,Y,0.79217
20191211,Z,0.91846
20191212,X,0.86994
20191212,Y,0.85691
20191212,Z,0.95532
20191213,X,0.83972
20191213,Y,0.8299
20191213,Z,0.95267
20191216,X,0.86565
20191216,Y,0.84258
20191216,Z,0.94779
20191217,X,0.87597
20191217,Y,0.85176
20191217,Z,0.95233
20191218,X,0.87337
20191218,Y,0.83762
20191218,Z,0.95805
20191219,X,0.88057
20191219,Y,0.84327
20191219,Z,0.95212
20191220,X,0.82961
20191220,Y,0.85744
20191220,Z,0.94974
20191223,X,0.83796
20191223,Y,0.82984
20191223,Z,0.94704
20191224,X,0.86411
20191224,Y,0.84989
20191224,Z,0.94845
20191225,X,0.91728
20191225,Y,0.84499
20191225,Z,0.94447
20191226,X,0.84974
20191226,Y,0.84825
20191226,Z,0.94019
20191227,X,0.85363
20191227,Y,0.80948
20191227,Z,0.96511
20200106,X,0.83425
20200106,Y,0.84138
20200106,Z,0.94497
20200107,X,0.85541
20200107,Y,0.82671
20200107,Z,0.95112
20200108,X,0.86537
20200108,Y,0.83207
20200108,Z,0.94895
20200109,X,0.86536
20200109,Y,0.86304
20200109,Z,0.95155
20200110,X,0.85971
20200110,Y,0.83858
20200110,Z,0.95458
20200114,X,0.87669
20200114,Y,0.83244
20200114,Z,0.95157
20200115,X,0.86046
20200115,Y,0.83384
20200115,Z,0.96089
20200116,X,0.86836
20200116,Y,0.8571
20200116,Z,0.96063
20200117,X,0.87262
20200117,Y,0.83701
20200117,Z,0.95901
20200120,X,0.87658
20200120,Y,0.84144
20200120,Z,0.94486
20200121,X,0.86344
20200121,Y,0.82934
20200121,Z,0.94693
20200122,X,0.86935
20200122,Y,0.82937
20200122,Z,0.96022
20200123,X,0.86191
20200123,Y,0.84481
20200123,Z,0.95027
20200124,X,0.85438
20200124,Y,0.81708
20200124,Z,0.92883
20200127,X,0.81151
20200127,Y,0.80041
20200127,Z,0.9377
20200128,X,0.83619
20200128,Y,0.80696
20200128,Z,0.93277
20200129,X,0.88288
20200129,Y,0.83602
20200129,Z,0.94796
20200130,X,0.8671
20200130,Y,0.85112
20200130,Z,0.96161
20200131,X,0.85565
20200131,Y,0.81285
20200131,Z,0.95085
20200203,X,0.83981
20200203,Y,0.85784
20200203,Z,0.95883
20200204,X,0.86415
20200204,Y,0.84186
20200204,Z,0.93151
20200205,X,0.85134
20200205,Y,0.85066
20200205,Z,0.94619
20200206,X,0.87915
20200206,Y,0.84068
20200206,Z,0.94495
20200207,X,0.8927
20200207,Y,0.82656
20200207,Z,0.95807
20200210,X,0.8824
20200210,Y,0.81442
20200210,Z,0.96474
20200212,X,0.86367
20200212,Y,0.82216
20200212,Z,0.95127
20200213,X,0.86456
20200213,Y,0.83834
20200213,Z,0.94878
20200214,X,0.86126
20200214,Y,0.79461
20200214,Z,0.94778
20200217,X,0.86656
20200217,Y,0.80636
20200217,Z,0.94788
20200218,X,0.84291
20200218,Y,0.85424
20200218,Z,0.95255
20200219,X,0.85453
20200219,Y,0.83744
20200219,Z,0.95161
20200220,X,0.86162
20200220,Y,0.84566
20200220,Z,0.95518
20200221,X,0.83967
20200221,Y,0.84695
20200221,Z,0.95643
20200225,X,0.82747
20200225,Y,0.84055
20200225,Z,0.9351
20200226,X,0.86929
20200226,Y,0.83757
20200226,Z,0.94453
20200227,X,0.70826
20200227,Y,0.84
20200227,Z,0.96437
20200228,X,0.86501
20200228,Y,0.82269
20200228,Z,0.93314
20200302,X,0.83483
20200302,Y,0.79318
20200302,Z,0.92368
20200303,X,0.8752
20200303,Y,0.83083
20200303,Z,0.93302
20200304,X,0.87827
20200304,Y,0.81753
20200304,Z,0.95468
20200305,X,0.85696
20200305,Y,0.86977
20200305,Z,0.9678
20200306,X,0.87233
20200306,Y,0.86194
20200306,Z,0.96923
20200309,X,0.86487
20200309,Y,0.87865
20200309,Z,0.96361
20200310,X,0.87576
20200310,Y,0.84173
20200310,Z,0.95675
20200311,X,0.88284
20200311,Y,0.87671
20200311,Z,0.96473
20200312,X,0.87185
20200312,Y,0.87184
20200312,Z,0.97138
20200313,X,0.85101
20200313,Y,0.85316
20200313,Z,0.97569
20200316,X,0.8699
20200316,Y,0.85664
20200316,Z,0.9681
20200317,X,0.87064
20200317,Y,0.84371
20200317,Z,0.95953
20200318,X,0.87999
20200318,Y,0.87373
20200318,Z,0.96316
20200319,X,0.84541
20200319,Y,0.86032
20200319,Z,0.95517
20200323,X,0.86746
20200323,Y,0.86113
20200323,Z,0.96291
20200324,X,0.86801
20200324,Y,0.86633
20200324,Z,0.97185
20200325,X,0.89112
20200325,Y,0.8842
20200325,Z,0.96807
20200326,X,0.86708
20200326,Y,0.87957
20200326,Z,0.96505
20200327,X,0.86473
20200327,Y,0.84024
20200327,Z,0.96509
20200330,X,0.8702
20200330,Y,0.85489
20200330,Z,0.96109
20200331,X,0.88316
20200331,Y,0.86557
20200331,Z,0.96836
20200401,X,0.87007
20200401,Y,0.82196
20200401,Z,0.9771
20200402,X,0.87617
20200402,Y,0.87635
20200402,Z,0.9121
20200403,X,0.87027
20200403,Y,0.86735
20200403,Z,0.9581
20200406,X,0.87434
20200406,Y,0.84078
20200406,Z,0.95547
20200407,X,0.83532
20200407,Y,0.85047
20200407,Z,0.94467
20200408,X,0.85614
20200408,Y,0.8695
20200408,Z,0.95459
20200409,X,0.8634
20200409,Y,0.86424
20200409,Z,0.95589
20200410,X,0.85487
20200410,Y,0.87409
20200410,Z,0.93889
20200413,X,0.87336
20200413,Y,0.82027
20200413,Z,0.95589
20200414,X,0.87012
20200414,Y,0.87949
20200414,Z,0.94558
20200415,X,0.86864
20200415,Y,0.86902
20200415,Z,0.96151
20200416,X,0.86461
20200416,Y,0.84478
20200416,Z,0.96369
20200417,X,0.83675
20200417,Y,0.89149
20200417,Z,0.95572
20200420,X,0.86053
20200420,Y,0.84612
20200420,Z,0.96288
20200421,X,0.87826
20200421,Y,0.86909
20200421,Z,0.96763
20200422,X,0.84293
20200422,Y,0.85483
20200422,Z,0.95614
20200423,X,0.85036
20200423,Y,0.8784
20200423,Z,0.95545
20200424,X,0.86063
20200424,Y,0.85333
20200424,Z,0.94241
20200427,X,0.81713
20200427,Y,0.82758
20200427,Z,0.96237
20200428,X,0.79627
20200428,Y,0.8061
20200428,Z,0.96377
20200430,X,0.83064
20200430,Y,0.86346
20200430,Z,0.97525
20200501,X,0.88485
20200501,Y,0.83943
20200501,Z,0.96669
20200507,X,0.82885
20200507,Y,0.87004
20200507,Z,0.95578
20200508,X,0.85631
20200508,Y,0.89818
20200508,Z,0.95359
20200511,X,0.84613
20200511,Y,0.85731
20200511,Z,0.96002
20200512,X,0.85034
20200512,Y,0.8592
20200512,Z,0.9691
20200513,X,0.87163
20200513,Y,0.86713
20200513,Z,0.95554
20200514,X,0.86368
20200514,Y,0.88613
20200514,Z,0.95207
20200515,X,0.8502
20200515,Y,0.83174
20200515,Z,0.95285
20200518,X,0.88615
20200518,Y,0.8518
20200518,Z,0.9563
20200519,X,0.9234
20200519,Y,0.87097
20200519,Z,0.95165
20200520,X,0.90296
20200520,Y,0.88491
20200520,Z,0.94633
20200521,X,0.8843
20200521,Y,0.87222
20200521,Z,0.97587
20200522,X,0.89608
20200522,Y,0.83906
20200522,Z,0.94217
20200525,X,0.87128
20200525,Y,0.86736
20200525,Z,0.95451
20200526,X,0.88943
20200526,Y,0.87959
20200526,Z,0.96074
20200527,X,0.8664
20200527,Y,0.85975
20200527,Z,0.96156
20200528,X,0.88652
20200528,Y,0.84098
20200528,Z,0.96098
20200529,X,0.83878
20200529,Y,0.82896
20200529,Z,0.93468
20200601,X,0.80458
20200601,Y,0.84428
20200601,Z,0.9639
20200602,X,0.85267
20200602,Y,0.8566
20200602,Z,0.95768
20200603,X,0.86011
20200603,Y,0.84521
20200603,Z,0.93736
20200604,X,0.84293
20200604,Y,0.8526
20200604,Z,0.95456
20200605,X,0.85611
20200605,Y,0.8423
20200605,Z,0.93285
20200608,X,0.87781
20200608,Y,0.87933
20200608,Z,0.91674
20200609,X,0.87138
20200609,Y,0.86022
20200609,Z,0.90369
20200610,X,0.86441
20200610,Y,0.8482
20200610,Z,0.88902
20200611,X,0.81028
20200611,Y,0.85043
20200611,Z,0.93621
20200612,X,0.8523
20200612,Y,0.83524
20200612,Z,0.93196
20200615,X,0.87519
20200615,Y,0.82821
20200615,Z,0.93163
20200616,X,0.85966
20200616,Y,0.85774
20200616,Z,0.96667
20200617,X,0.88147
20200617,Y,0.89658
20200617,Z,0.92788
20200618,X,0.84493
20200618,Y,0.85881
20200618,Z,0.95062
20200619,X,0.85781
20200619,Y,0.86203
20200619,Z,0.93785
20200622,X,0.84895
20200622,Y,0.85074
20200622,Z,0.95053
20200623,X,0.87285
20200623,Y,0.85831
20200623,Z,0.95846
20200624,X,0.85954
20200624,Y,0.89243
20200624,Z,0.93793
20200625,X,0.82928
20200625,Y,0.86662
20200625,Z,0.90539
20200626,X,0.82983
20200626,Y,0.85225
20200626,Z,0.93628
20200629,X,0.86293
20200629,Y,0.86403
20200629,Z,0.94891
20200630,X,0.82928
20200630,Y,0.84466
20200630,Z,0.92725
